,CloseAsk,HighAsk,LowAsk,OpenAsk,Time
0,116.011,116.024,115.917,115.982,2020-04-30 07:00:00
1,116.064,116.136,116.002,116.011,2020-04-30 07:05:00
2,116.141,116.158,116.058,116.065,2020-04-30 07:10:00
3,116.029,116.148,116.026,116.141,2020-04-30 07:15:00
4,115.966,116.033,115.953,116.029,2020-04-30 07:20:00
5,115.957,116.022,115.947,115.966,2020-04-30 07:25:00
6,115.994,116.006,115.939,115.957,2020-04-30 07:30:00
7,116.016,116.036,115.977,115.994,2020-04-30 07:35:00
8,116.052,116.059,115.988,116.017,2020-04-30 07:40:00
9,116.044,116.098,116.03,116.051,2020-04-30 07:45:00
10,116.021,116.051,116.004,116.043,2020-04-30 07:50:00
11,116.038,116.043,115.979,116.02,2020-04-30 07:55:00
12,116.013,116.083,116.003,116.039,2020-04-30 08:00:00
13,116.034,116.034,115.997,116.013,2020-04-30 08:05:00
14,116.032,116.047,116.016,116.034,2020-04-30 08:10:00
15,116.002,116.056,115.991,116.033,2020-04-30 08:15:00
16,115.951,116.019,115.949,116.001,2020-04-30 08:20:00
17,115.989,115.999,115.948,115.951,2020-04-30 08:25:00
18,116.035,116.05,115.986,115.989,2020-04-30 08:30:00
19,116.05,116.078,116.022,116.034,2020-04-30 08:35:00
20,116.048,116.067,116.032,116.05,2020-04-30 08:40:00
21,116.049,116.07,116.045,116.049,2020-04-30 08:45:00
22,116.091,116.114,116.045,116.048,2020-04-30 08:50:00
23,116.139,116.141,116.085,116.092,2020-04-30 08:55:00
24,116.135,116.156,116.106,116.139,2020-04-30 09:00:00
25,116.132,116.137,116.097,116.136,2020-04-30 09:05:00
26,116.06,116.138,116.06,116.133,2020-04-30 09:10:00
27,116.056,116.094,116.051,116.061,2020-04-30 09:15:00
28,116.143,116.148,116.052,116.056,2020-04-30 09:20:00
29,116.078,116.145,116.076,116.144,2020-04-30 09:25:00
30,116.039,116.08,116.032,116.078,2020-04-30 09:30:00
31,116.021,116.044,116.008,116.039,2020-04-30 09:35:00
32,116.042,116.069,116.016,116.02,2020-04-30 09:40:00
33,116.011,116.058,116.002,116.042,2020-04-30 09:45:00
34,115.962,116.012,115.956,116.012,2020-04-30 09:50:00
35,115.899,115.973,115.888,115.961,2020-04-30 09:55:00
36,115.939,115.94,115.893,115.899,2020-04-30 10:00:00
37,115.954,115.979,115.931,115.938,2020-04-30 10:05:00
38,115.98,115.982,115.935,115.954,2020-04-30 10:10:00
39,116.013,116.014,115.95,115.979,2020-04-30 10:15:00
40,116.003,116.018,115.985,116.013,2020-04-30 10:20:00
41,116.018,116.018,115.971,116.002,2020-04-30 10:25:00
42,116.006,116.027,115.963,116.018,2020-04-30 10:30:00
