Time,CloseAsk,CloseBid,HighAsk,HighBid,LowAsk,LowBid,OpenAsk,OpenBid
2020-04-03 12:40:00,117.008,116.973,117.053,117.016,116.944,116.909,116.989,116.954
2020-04-03 12:45:00,117.076,117.041,117.09,117.055,116.941,116.906,117.009,116.974
2020-04-03 12:50:00,117.086,117.051,117.086,117.052,116.997,116.962,117.077,117.042
2020-04-03 12:55:00,117.041,117.006,117.11,117.075,117.011,116.976,117.088,117.053
2020-04-03 13:00:00,117.187,117.152,117.188,117.153,117.003,116.968,117.041,117.006
2020-04-03 13:05:00,117.083,117.048,117.193,117.158,117.076,117.041,117.188,117.153
2020-04-03 13:10:00,117.122,117.087,117.135,117.1,117.061,117.026,117.083,117.048
2020-04-03 13:15:00,117.151,117.116,117.199,117.164,117.113,117.078,117.122,117.087
2020-04-03 13:20:00,117.125,117.09,117.197,117.162,117.106,117.071,117.151,117.116
2020-04-03 13:25:00,117.122,117.087,117.143,117.108,117.062,117.027,117.124,117.089
2020-04-03 13:30:00,117.013,116.978,117.152,117.117,117.003,116.968,117.121,117.086
2020-04-03 13:35:00,117.064,117.029,117.092,117.058,117.006,116.971,117.014,116.979
2020-04-03 13:40:00,117.079,117.044,117.128,117.094,117.047,117.012,117.065,117.03
2020-04-03 13:45:00,117.071,117.036,117.122,117.087,117.051,117.017,117.079,117.044
2020-04-03 13:50:00,117.02,116.985,117.083,117.048,116.997,116.962,117.071,117.036
2020-04-03 13:55:00,117.056,117.021,117.064,117.028,117.003,116.968,117.019,116.984
2020-04-03 14:00:00,117.161,117.126,117.214,117.179,117.052,117.017,117.054,117.019
2020-04-03 14:05:00,117.203,117.168,117.249,117.214,117.138,117.103,117.161,117.126
2020-04-03 14:10:00,117.162,117.127,117.205,117.17,117.121,117.086,117.203,117.168
2020-04-03 14:15:00,117.21,117.175,117.213,117.178,117.114,117.079,117.163,117.128
2020-04-03 14:20:00,117.159,117.124,117.237,117.202,117.11,117.075,117.21,117.175
2020-04-03 14:25:00,117.202,117.167,117.21,117.175,117.151,117.116,117.158,117.123
2020-04-03 14:30:00,117.09,117.055,117.229,117.194,117.063,117.028,117.201,117.166
2020-04-03 14:35:00,117.092,117.057,117.122,117.087,117.065,117.03,117.091,117.056
2020-04-03 14:40:00,117.099,117.064,117.121,117.086,117.068,117.032,117.092,117.057
2020-04-03 14:45:00,117.016,116.981,117.098,117.063,117.003,116.968,117.098,117.063
2020-04-03 14:50:00,117.121,117.086,117.166,117.131,116.985,116.95,117.015,116.98
2020-04-03 14:55:00,117.176,117.141,117.251,117.216,117.122,117.087,117.122,117.087
2020-04-03 15:00:00,117.184,117.149,117.204,117.169,117.115,117.08,117.177,117.142
2020-04-03 15:05:00,117.211,117.176,117.223,117.188,117.104,117.069,117.183,117.148
2020-04-03 15:10:00,117.181,117.146,117.262,117.227,117.171,117.135,117.212,117.177
2020-04-03 15:15:00,117.171,117.136,117.222,117.187,117.157,117.122,117.182,117.147
2020-04-03 15:20:00,117.165,117.13,117.189,117.154,117.146,117.11,117.171,117.136
